"zip code", "state abbreviation", "latitude", "longitude", "city", "state"
"35124", "AL", " 33.317471", " -86.78726", "Pelham", "Alabama"
"35124", "AL", " 33.317471", " -86.78726", "Pelham", "Alabama"
"35125", "AL", " 33.606663", " -86.28912", "Pell City", "Alabama"
"35405", "AL", " 33.149246", " -87.52303", "Tuscaloosa", "Alabama"
"35640", "AL", " 34.442184", " -86.94027", "Hartselle", "Alabama"
"36092", "AL", " 32.592889", " -86.21902", "Wetumpka", "Alabama"
"36092", "AL", " 32.592889", " -86.21902", "Wetumpka", "Alabama"
"36092", "AL", " 32.592889", " -86.21902", "Wetumpka", "Alabama"
"36109", "AL", " 32.386088", " -86.24511", "Montgomery", "Alabama"
"36109", "AL", " 32.386088", " -86.24511", "Montgomery", "Alabama"
"36605", "AL", " 30.641191", " -88.08222", "Mobile", "Alabama"
"99635", "AK", " 60.784804", "-151.06473", "Nikiski", "Alaska"
"85203", "AZ", " 33.437493", "-111.80600", "Mesa", "Arizona"
"85203", "AZ", " 33.437493", "-111.80600", "Mesa", "Arizona"
"85203", "AZ", " 33.437493", "-111.80600", "Mesa", "Arizona"
"72355", "AR", " 34.554466", " -90.76901", "Lexa", "Arkansas"
"72941", "AR", " 35.348089", " -94.17279", "Central City", "Arkansas"
"90220", "CA", " 33.890566", "-118.23666", "Rancho Dominguez", "California"
"90260", "CA", " 33.888364", "-118.35355", "Lawndale", "California"
"90260", "CA", " 33.888364", "-118.35355", "Lawndale", "California"
"90260", "CA", " 33.888364", "-118.35355", "Lawndale", "California"
"90274", "CA", " 33.784099", "-118.38752", "Palos Verdes Est", "California"
"90274", "CA", " 33.784099", "-118.38752", "Palos Verdes Est", "California"
"91740", "CA", " 34.119245", "-117.85480", "Glendora", "California"
"91784", "CA", " 34.138575", "-117.66356", "Upland", "California"
"92083", "CA", " 33.179587", "-117.24461", "Vista", "California"
"92111", "CA", " 32.804972", "-117.16871", "San Diego", "California"
"92831", "CA", " 33.878981", "-117.89325", "Fullerton", "California"
"93035", "CA", " 34.179304", "-119.22189", "Oxnard", "California"
"93555", "CA", " 35.599177", "-117.68065", "China Lake Nwc", "California"
"93555", "CA", " 35.599177", "-117.68065", "China Lake Nwc", "California"
"93555", "CA", " 35.599177", "-117.68065", "China Lake Nwc", "California"
"93555", "CA", " 35.599177", "-117.68065", "China Lake Nwc", "California"
"93555", "CA", " 35.599177", "-117.68065", "China Lake Nwc", "California"
"93635", "CA", " 37.048385", "-120.86983", "Los Banos", "California"
"94070", "CA", " 37.499175", "-122.26655", "San Carlos", "California"
"95060", "CA", " 36.980556", "-122.04603", "Scotts Valley", "California"
"95677", "CA", " 38.789165", "-121.23825", "Rocklin", "California"
"80123", "CO", " 39.616114", "-105.07393", "Bow Mar", "Colorado"
"80520", "CO", " 40.115501", "-104.93637", "Firestone", "Colorado"
"06033", "CT", " 41.707932", " -72.57085", "Glastonbury", "Connecticut"
"06033", "CT", " 41.707932", " -72.57085", "Glastonbury", "Connecticut"
"06106", "CT", " 41.746900", " -72.69593", "Hartford", "Connecticut"
"06111", "CT", " 41.688899", " -72.73101", "Maple Hill", "Connecticut"
"06340", "CT", " 41.345331", " -72.04524", "Groton", "Connecticut"
"06340", "CT", " 41.345331", " -72.04524", "Groton", "Connecticut"
"06405", "CT", " 41.277763", " -72.80542", "Branford", "Connecticut"
